,index,Unnamed: 0,Unnamed: 0.1,budget,genres,imdb_id,popularity,release_date,revenue,runtime,vote_average,vote_count,Year,Rated,Runtime,Genre,Country,Ratings,Metascore,imdbRating,imdbVotes
420,561,10472,10472,9000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",tt8772262,40.221,2019-07-03,47862188.0,148.0,7.1,3009.0,2019,R,148 min,"Drama, Horror, Mystery, Thriller","USA, Sweden","[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.0,7.1,"186,907"
421,562,10473,10473,145000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",tt1277953,40.126,2012-06-06,746921274.0,93.0,6.5,4313.0,2012,PG,93 min,"Animation, Adventure, Comedy, Family",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60.0,6.8,"159,909"
422,564,10475,10475,17000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt5164432,40.118,2018-02-16,66316289.0,110.0,8.2,4552.0,2018,PG-13,110 min,"Comedy, Drama, Romance",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.0,7.6,"95,904"
423,566,10478,10478,57000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]",tt1071875,40.005,2011-12-11,132563930.0,95.0,4.9,2567.0,2011,PG-13,96 min,"Action, Fantasy, Thriller","USA, United Arab Emirates","[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34.0,4.3,"109,639"
424,569,10486,10486,20000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",tt2543472,39.829,2017-11-13,305937718.0,113.0,8.2,5821.0,2017,PG,113 min,"Drama, Family","USA, Hong Kong, Canada","[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66.0,8.0,"136,782"
425,570,10487,10487,200000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",tt1216475,39.81,2011-06-11,559852396.0,106.0,6.0,5235.0,2011,G,106 min,"Animation, Adventure, Comedy, Family, Sport",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57.0,6.1,"156,743"
426,572,10490,10490,145000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",tt1446192,39.788000000000004,2012-11-21,306941670.0,97.0,7.3,4782.0,2012,PG,97 min,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58.0,7.3,"153,987"
427,573,10492,10492,45000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt1397280,39.769,2012-09-27,376141306.0,91.0,6.3,4852.0,2012,PG-13,92 min,"Action, Thriller","France, USA, Turkey","[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45.0,6.3,"286,664"
428,576,10495,10495,125000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",tt0800320,39.669000000000004,2010-04-01,493214993.0,106.0,5.8,4569.0,2010,PG-13,106 min,"Action, Adventure, Fantasy","USA, UK, Australia","[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39.0,5.8,"268,059"
429,577,10497,10497,70000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",tt4624424,39.637,2016-09-22,182379278.0,87.0,6.6,1620.0,2016,PG,87 min,"Animation, Adventure, Comedy, Family, Fantasy",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56.0,6.8,"55,123"
